,Resource Foraging Movement,Poly,GFR,Holling 1,Holling 2
1,active,5% (11),42%  (91),6% (14),46% (100)
2,passive,0%  (0),50%   (4),0%  (0),50%   (4)
3,sessile,4%  (2),57%  (32),2%  (1),38%  (21)
4,Total,5% (13),45% (127),5% (15),45% (125)
