,Con_ForagingMovement,Polynomial,Generalised Functional Response,Holling Type 1,Holling Type 2
1,active,4%  (9),64% (141),8% (18),24% (53)
2,sessile,4%  (2),57%  (30),9%  (5),30% (16)
3,Total,4% (11),62% (171),8% (23),25% (69)
