,Habitat,Poly,GFR,Holling 1,Holling 2
1,Freshwater,5%  (8),41%  (68),7% (11),47%  (77)
2,Marine,4%  (2),49%  (26),6%  (3),42%  (22)
3,Terrestrial,5%  (3),52%  (33),2%  (1),41%  (26)
4,Total,5% (13),45% (127),5% (15),45% (125)
