,Consumer Foraging Movement,Poly,GFR,Holling 1,Holling 2
1,active,5% (11),47% (107),4% (10),44% (101)
2,sessile,4%  (2),39%  (20),10%  (5),47%  (24)
3,Total,5% (13),45% (127),5% (15),45% (125)
