,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
273,40108,3.0,0.0,6.489988868223951e-05,0.07666666700000001,0.00018264052921284748,0.19141375460709353,20.26855156443465,0.004937556465017582,-589.6032246733101,-583.1738204941355,0.00014854199702910094,0.005984732514531865,-577.4857366803428,-571.0563325011682,-0.0015989750734327968,0.00043478278083268354,-2.281618401455475e-06,4.254025958529805e-09,0.004845120519579307,-298.00757158999477,-167.4194880065028
274,40109,3.0,0.0,2.1355039893743302e-05,0.05888888900000001,0.00028361857027677504,-0.14087386192002294,8.273941043412947e-08,0.0026604380932030948,-706.4431800574205,-699.6976943312724,0.0001328941250914487,0.0027275964163386702,-704.6980813253643,-697.9525955992162,-6.066508651905177e-05,0.0002433688188619465,-1.1984020579256566e-06,2.721915184577073e-09,0.002541103831539192,-383.0042422053475,-230.3550609880404
275,40110,3.0,0.0,4.63303830339544e-05,0.037777778,1.8924506598897574e-05,0.8432666146896262,53.03310239179435,0.001961067730138707,-750.7871265222428,-743.9571281651947,8.491533830149245e-05,0.0030581851822899875,-718.7951809673076,-711.9651826102595,-0.000813086465790096,0.00028182999619808945,-1.3696304321116877e-06,2.1267157096381192e-09,0.001982920618084606,-413.66209301343974,-254.57213080133192
276,40111,10.0,0.0008888889999999999,1.53439e-05,0.0032222220000000003,0.0003180109450992476,-0.5607886465746683,0.0,4.2896754619429634e-07,-92.72186424002876,-93.3465858323446,2.1825123097163348e-05,2.3397441264441362e-06,-82.54337070885035,-83.16809230116618,0.00040355575020317215,5.098163598509559e-05,-5.31433741613218e-07,2.0060888583914707e-09,2.682605039069398e-07,-78.51113821119311,-77.13585980350895
277,40112,2.5087,0.212001778,0.0288150720891725,1.208349889,0.20463629497427885,-0.6804332624644678,0.2599231690182304,0.010065722706974924,-25.040286654652938,-26.211972917350636,0.0018789332849907556,0.6780376488804125,-3.989951878476976,-5.1616381411746755,0.2765339444362056,0.006374043091352183,-1.9159711441893537e-05,1.6210075622054096e-08,0.014326351557250972,-11.086077586552056,-9.867201761683855
278,40114,5.0,2.14e-05,-2.39577096356777e-22,0.000138861,2.60680910751132e-08,1.9999799413543475,6070.083825734469,5.62551631377509e-09,-97.02695508193409,-98.1986413446318,2.8136676946070776e-06,8.32605093810769e-09,-95.06657241334858,-96.23825867604629,0.00016704596951496147,-4.1036724363544805e-05,2.74227376903965e-06,-3.882611025890321e-08,5.122922177723207e-10,-96.81843380943063,-95.59955798456242
279,40115,5.0,0.0453,0.0133,0.1985,0.0004180910893920527,1.999999864941084,5.751598590887307,0.002146121465936265,-41.61511502708884,-42.23983661940468,0.0020172955336408968,0.043096932322791714,-23.616377576633425,-24.241099168949262,0.03672037781662666,0.007768155665688352,-0.00012285763287513775,5.666127678782923e-07,0.005581992901789157,-18.852550909875248,-17.477272502191084
280,40116,5.0,0.1017,0.03132,0.4336,0.0014004059815562655,1.7944593717653357,2.556238216452327,0.004727672188074277,-36.8764908280426,-37.501212420358435,0.0044661941185239005,0.22022422043620496,-13.829211222432548,-14.453932814748383,0.07932044671286244,0.01645844533779202,-0.00022528224665369165,8.937261740571303e-07,0.013740564049575786,-13.447712065237013,-12.072433657552848
281,40117,5.0,0.1269,0.00689791304347826,0.6659,0.048817918982754234,-0.14736040967102815,1.2050508502586754,0.0140965227421788,-30.321519571621096,-30.946241163936932,0.00671565976008725,0.18656769814612867,-14.82432349350967,-15.449045085825505,0.13864779794448587,0.009755141208103764,-3.158637927061283e-05,-1.3839843290641448e-07,0.012690784773438667,-13.924569360648846,-12.54929095296468
282,40118,5.0,0.0531,0.00129721739130435,0.1775,0.048503738925457236,-0.7309232781500905,0.0,0.0017681930215824263,-42.77733968910435,-43.40206128142019,0.0018386695745164726,0.02271312942202835,-27.45942961373678,-28.084151206052617,0.06839287063318862,0.0018013622754907968,-2.2445097631614523e-06,-5.083013811991318e-08,0.0016833809883230776,-26.04500050612505,-24.669722098440886
283,40119,5.0,0.1427,0.0105442857142857,0.4616,0.03807887354156681,-0.13166686433277786,1.7151129383762553,0.003152040855702274,-39.30878768678451,-39.93350927910035,0.004941875681570335,0.10813146934569248,-18.097001715894766,-18.7217233082106,0.09151876287930506,0.009836558105557076,-8.471539131578215e-05,2.3333554806172604e-07,0.002474028141176354,-23.73474019876268,-22.359461791078516
284,40120,5.0,0.1638,0.00991857142857143,0.6324,0.0528669736394943,-0.30464061084916816,0.8660631705385322,0.007403150618042739,-34.185654476488985,-34.81037606880482,0.006502900768777618,0.1265385670992366,-17.15380564952228,-17.778527241838113,0.13774478513277277,0.00673731655895154,2.183122825746421e-05,-3.734392530929703e-07,0.0017250338252752808,-25.89834613592724,-24.523067728243078
285,40121,0.5,0.001246194,0.00122814742857143,0.027131556,0.0022983497072536713,-0.12066382653992624,0.0,2.874190262828654e-05,-67.49348368398545,-68.11820527630128,0.0016940200820512827,3.19421378702427e-05,-66.86006371619524,-67.48478530851108,-0.0023316004152202866,0.005263900628735914,-0.0006719233832908413,2.8618542814844745e-05,1.1882573333328457e-05,-55.76592035853377,-54.390641950849606
286,40122,10.0,9.43e-06,7.07477876106195e-08,8.329999999999999e-05,2.1388496497946217e-07,1.34203498898429,22306.436758208663,9.792685745796584e-09,-649.2848239218433,-645.0812317768568,9.359880664959721e-07,1.678331569403341e-08,-633.1223381734094,-628.9187460284229,1.8187821428571376e-05,1.3527261904762484e-07,5.012580357142838e-08,-7.916994047619026e-10,8.425871573214283e-09,-520.6583769145452,-480.826047609667
287,40123,5.0,0.002665667,0.0008737332000000001,0.010322,0.004605354629745261,-0.8356534214165565,0.0,2.2885171466480495e-05,-68.86068516352672,-69.48540675584256,6.885752217357224e-05,0.00020241170251724755,-55.78179763613613,-56.40651922845197,0.0027080004956109302,0.0003617831957024283,-4.185924266072244e-06,1.2741394834408156e-08,1.0526039779748022e-05,-56.4932447680146,-55.117966360330435
