,ID,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
0,6,3.2979203461724895e-06,0.3613218845840608,3625.684386200537,1.0523717386016418e-07,-619.049124421472,-614.6519167130729,1.7349053407190284e-05,8.489073979237708e-07,2.5559871969062847e-07,-4.0509767802396025e-09,1.0311010619725005e-07,-476.8904724437166,-432.38413126252453
1,71,1.7953002186585717e-51,37.095067630497404,3138.6651852517557,1.2734416835408626e-08,-113.82430194638478,-114.44902353870062,-0.00037693204245430354,5.3845967774147235e-05,-1.4088368270230376e-06,1.1918904052800358e-08,1.967713107092562e-08,-94.18614682610503,-92.81086841842087
2,79,4.4090428157890455e-06,0.5388435528922162,2441.3011980034194,6.1671557708396996e-09,-206.0661317547927,-205.15837647581057,4.8577113654371876e-05,8.508196047626643e-06,-5.8093816973087786e-08,7.014102788042123e-11,3.975830304707964e-09,-174.07740255550019,-169.95930690454188
3,140,0.00356635126474762,-0.11121288604254864,3.0860606290912296,0.000561800733881428,-49.65673683731594,-50.281458429631776,0.03467937287192657,0.0009646011849822137,-1.3674543444144822e-06,6.145572770170267e-10,0.0003381330995832056,-35.67572014238458,-34.300441734700414
4,351,4.0296203225217736e-05,0.2752278719655458,1.4436896123015686e-11,1.0770134338641966,-56.37694189052452,-53.24337457735425,-0.02269347287477484,0.000760419034749681,-1.586427397862381e-07,1.136943291743412e-11,0.4460759583118878,14.70786054412044,35.509264423142056
5,450,1.1468328495631956e-05,-0.41851683750272406,3552.8027076779063,5.5944774554633544e-11,-146.39049329803777,-147.0152148903536,6.623718414942886e-07,8.781334989217376e-06,-7.13916532892843e-07,2.0666526543092e-08,1.0304221438124346e-11,-139.5140991546899,-138.13882074700572
6,687,6.757973571890367e-06,0.9068518544013097,9434.36396466743,1.859652254672877e-08,-1307.6781477469092,-1301.3951140602428,-7.98405380507326e-06,1.745529683152749e-05,-8.884444329431651e-07,1.4032876002339948e-08,1.821764196830623e-08,-1030.6405721558447,-909.2629321091849
7,691,1.110217322931454e-05,0.07407506517527522,4433.921428552226,5.8019499362512554e-08,-1239.4098749530729,-1233.1268412664065,2.5942170894526084e-06,9.9779596134561e-06,-2.160151874209098e-07,1.5194577330527399e-09,5.789571295659106e-08,-961.2653995873186,-839.8877595406589
8,695,9.721743399295396e-05,-0.22522120482954103,0.0,1.3747117876805277e-08,-92.55937278099289,-93.73105904369059,-0.0001680231702449736,0.00013022304422504643,-6.029403901552846e-06,1.1338102425737974e-07,6.334401673530442e-09,-84.2441566070216,-83.02528078215339
9,708,1.3860537063057957e-05,0.32029684092841637,3248.412187010376,1.3269657981979584e-09,-104.24904384069782,-105.42073010339553,-1.59236428571437e-05,2.1726969132588313e-05,-5.481085236220485e-07,4.075249156355466e-09,8.2494250884808e-11,-105.9492667864281,-104.73039096155989
