,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
0,6,20.0,8.1e-05,1.82090594178494e-06,0.000277778,3.2990203265012495e-06,0.36119679311088904,3625.4518989647686,1.0523717391679372e-07,-619.0491244042523,-614.6519166958532,4.378091261742112e-06,1.1958646284374832e-07,-614.9587869299492,-610.56157922155,1.7349053407190284e-05,8.489073979237708e-07,2.5559871969062847e-07,-4.0509767802396025e-09,1.0311010619725005e-07,-476.8904724437166,-432.38413126252453
1,71,10.0,6.49e-05,4.22857142857143e-06,0.000369468,5.797028361242727e-08,1.9999909464604766,2763.273855608263,2.1296373200482244e-08,-110.73893112140931,-111.36365271372514,7.2739392047158295e-06,4.4511678275252275e-08,-106.31564230968056,-106.94036390199639,-0.00037693204245430354,5.3845967774147235e-05,-1.4088368270230376e-06,1.1918904052800358e-08,1.967713107092562e-08,-94.18614682610503,-92.81086841842087
2,79,14.2654,0.000148339,8.50257008888173e-06,0.00042961,4.409036052378335e-06,0.5388441450078343,2441.301541948333,6.1671557709043e-09,-206.06613175468794,-205.1583764757058,4.7252926697445435e-06,1.210514153730908e-07,-176.29635554158074,-175.3886002625986,4.8577113654371876e-05,8.508196047626643e-06,-5.8093816973087786e-08,7.014102788042123e-11,3.975830304707964e-09,-174.07740255550019,-169.95930690454188
3,140,18.0,0.0429,0.0010678004535147401,0.2495,0.0035663813355847613,-0.1112151441880822,3.086054191450083,0.0005618007339109998,-49.65673683700011,-50.28145842931595,0.0004462005446129397,0.028326219499355147,-26.134361330437876,-26.759082922753713,0.03467937287192657,0.0009646011849822137,-1.3674543444144822e-06,6.145572770170267e-10,0.0003381330995832056,-35.67572014238458,-34.300441734700414
4,351,1084.8274,0.5441672710000001,0.00045921265535264804,6.788078704,-0.0075309390002835895,-1.0053648212612123,139.82250750765039,1.1706959432292787,-54.62540489204036,-51.49183757887009,0.0005065205138230381,1.877607175753089,-44.705009258552344,-41.57144194538208,-0.02269347287477484,0.000760419034749681,-1.586427397862381e-07,1.136943291743412e-11,0.4460759583118878,14.70786054412044,35.509264423142056
5,450,1.0,9.1e-06,5.6e-06,5.59e-05,1.146832739803898e-05,-0.4185166998720504,3552.807497740674,5.59447745544965e-11,-146.3904932980525,-147.01521489036833,3.0786842110591172e-06,4.785246842105262e-10,-133.51243673368361,-134.13715832599945,6.623718414942886e-07,8.781334989217376e-06,-7.13916532892843e-07,2.0666526543092e-08,1.0304221438124346e-11,-139.5140991546899,-138.13882074700572
6,687,1.0,1.1599999999999999e-05,9.88193829478234e-07,0.00017361099999999997,6.758137550721766e-06,0.9068419865614574,9434.372243293808,1.859652255243603e-08,-1307.6781477284953,-1301.395114041829,4.210721172160926e-06,7.720147587978123e-08,-1222.2715094824066,-1215.9884757957402,-7.98405380507326e-06,1.745529683152749e-05,-8.884444329431651e-07,1.4032876002339948e-08,1.821764196830623e-08,-1030.6405721558447,-909.2629321091849
7,691,1.0,1.1599999999999999e-05,1.95033099688473e-06,0.00025463,1.1102185999693283e-05,0.07407513494805995,4433.926328076032,5.80194993625405e-08,-1239.4098749530442,-1233.1268412663778,5.416324102571845e-06,8.163817071017025e-08,-1218.9188080957024,-1212.635774409036,2.5942170894526084e-06,9.9779596134561e-06,-2.160151874209098e-07,1.5194577330527399e-09,5.789571295659106e-08,-961.2653995873186,-839.8877595406589
8,695,12.0,0.000685889,5.2253500000000004e-05,0.001376056,0.00010084045298610279,-0.25091280604248234,-39.63101897450674,1.3723246329854074e-08,-92.5680627105404,-93.73974897323811,4.8336132873398054e-05,4.259582977370628e-08,-86.90473696766495,-88.07642323036265,-0.0001680231702449736,0.00013022304422504643,-6.029403901552846e-06,1.1338102425737974e-07,6.334401673530442e-09,-84.2441566070216,-83.02528078215339
9,708,5.0,8.329999999999999e-05,1.2043800000000001e-05,0.00030092599999999997,1.3860532509510287e-05,0.32029701893700624,3248.412351272609,1.3269657981869187e-09,-104.24904384073942,-105.42073010343712,4.702924340081649e-06,4.1038194575199404e-08,-87.09100270659019,-88.2626889692879,-1.59236428571437e-05,2.1726969132588313e-05,-5.481085236220485e-07,4.075249156355466e-09,8.2494250884808e-11,-105.9492667864281,-104.73039096155989
